SHAP Rank,Source Feature,Business-Friendly Label,Bin,Bin Lower Bound,Bin Upper Bound,Observed Minimum,Observed Maximum,Mean Feature Value,Records,Record Percentage,Mean SHAP,Median SHAP,Mean Absolute SHAP,Mean Model Score,Range Direction,Range Importance Rank
1,donor_age,Donor Age,1,16.0,26.0,16.0,25.0,22.568106312292358,301,4.374364191251272,0.0023891181325902486,-0.0018922861996116256,0.008443681510116511,0.052960891473371005,Generally Increases Score,2
1,donor_age,Donor Age,2,26.0,31.0,26.0,30.0,28.11111111111111,324,4.708617933439907,0.002618176057473727,0.0017489433445797725,0.005019046570244858,0.055089347926370276,Generally Increases Score,4
1,donor_age,Donor Age,3,31.0,37.0,31.0,36.0,33.36883116883117,385,5.595116988809766,-0.0013745809975685302,-0.0012957987478770432,0.0018600748746475215,0.05281745325209261,Generally Decreases Score,7
1,donor_age,Donor Age,4,37.0,42.0,37.0,41.0,38.74493927125506,247,3.5895945356779535,-0.0025386730191889013,-0.002599601315468599,0.002789896747105504,0.05246487635163403,Generally Decreases Score,6
1,donor_age,Donor Age,5,42.0,49.0,42.0,48.0,42.206108547571965,4551,66.13864263915129,-0.0007623907211307167,-0.0006085868494897569,0.001059685284187879,0.054320621776142705,Generally Decreases Score,8
1,donor_age,Donor Age,6,49.0,58.0,49.0,57.0,52.73770491803279,366,5.318994332219154,0.00047005904056988463,0.0005194259264535228,0.003938645611813729,0.05656072372247427,Generally Increases Score,5
1,donor_age,Donor Age,7,58.0,69.0,58.0,68.0,62.65597667638484,343,4.984740590030519,0.003212991768930991,0.0009182484692892494,0.005624171007439582,0.059726012235930374,Generally Increases Score,3
1,donor_age,Donor Age,8,69.0,99.0,69.0,99.0,78.11538461538461,364,5.289928789420142,0.011859580056106095,0.006751712516463157,0.013549447964616494,0.06584839382060723,Generally Increases Score,1
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),1,0.0,1.0,0.0,0.0,0.0,5040,73.24516785350966,0.00021908719094641943,0.00028364705165344036,0.0002981446108782687,0.05504239219469633,Generally Increases Score,6
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),2,1.0,25.0,1.0,24.0,6.191343963553531,439,6.379886644383085,-2.6962308571104914e-05,0.00042698938584659595,0.0015985775983461828,0.05406858663512943,Generally Decreases Score,5
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),3,25.0,50.0,25.0,49.0,31.38871473354232,319,4.635954076442378,-3.551567139585817e-05,9.946120662310212e-05,0.002108229497166879,0.05246091333296766,Generally Decreases Score,4
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),4,50.0,100.0,50.0,98.0,61.13870967741936,310,4.505159133846825,-0.0012391152726047793,-0.0014192573362965723,0.0033471839079723623,0.05056416096598149,Generally Decreases Score,2
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),5,100.0,200.0,100.0,198.0,127.08845208845209,407,5.914837959598895,-0.0020504223656362093,-0.002569768007671285,0.002792341123985563,0.049434571923507475,Generally Decreases Score,3
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),6,200.0,1250000.0,200.0,1250000.0,6245.773224043716,366,5.318994332219154,0.0024934830718942283,-0.003510605542746403,0.010821545484052307,0.0704190572026892,Generally Increases Score,1
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),1,0.0,0.2,0.0,0.0,0.0,5040,73.24516785350966,-5.449742325706599e-05,2.5701045470963356e-05,0.00017457524326474155,0.05504239219469633,Generally Decreases Score,6
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),2,0.2,5.0,0.2,4.8,1.2441913439635535,439,6.379886644383085,-0.0009251679535205924,-0.0002627198240127494,0.0017367593402460477,0.05406858663512943,Generally Decreases Score,5
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),3,5.0,10.0,5.0,9.8,6.3145631067961165,309,4.490626362447319,-0.0012081070204516431,-0.0007752601926066575,0.002290216380000222,0.05259651543755237,Generally Decreases Score,4
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),4,10.0,20.0,10.0,19.6,12.238283828382837,303,4.403429734050284,-0.0017955662510305908,-0.0019624614225364463,0.00312888697815111,0.05052483410678118,Generally Decreases Score,3
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),5,20.0,44.0,20.0,43.2,28.20044943820225,445,6.467083272780119,-0.0026222366002281467,-0.003083855822605722,0.0032722088543880212,0.04887967284137001,Generally Decreases Score,2
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),6,44.0,293832.0,44.0,293832.0,1668.3924637681157,345,5.01380613282953,0.007202976374334695,-0.0001608947115512268,0.010410291186269072,0.07243583925436148,Generally Increases Score,1
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,1,0.0,1.0,0.0,0.0,0.0,463,6.728673157971225,0.0044548537749177,0.00361238227895168,0.005707662675323277,0.06475757253763617,Generally Increases Score,1
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,2,1.0,2.0,1.0,1.0,1.0,442,6.423484958581602,-0.0035947670580623713,-0.0032964986815459535,0.004063042832473981,0.051508821007604094,Generally Decreases Score,2
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,3,2.0,3.0,2.0,2.0,2.0,324,4.708617933439907,-0.0021727593339266466,-0.0024673968372739795,0.0027258069855536676,0.04946143757633736,Generally Decreases Score,3
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,4,3.0,4.0,3.0,3.0,3.0,307,4.461560819648307,0.0006414344891992527,0.0005022135925252209,0.0017945809166606918,0.05469058967620291,Generally Increases Score,4
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,5,4.0,6.0,4.0,6.0,5.885874649204864,5345,77.67766313035897,-7.864323586003762e-05,-0.0001446173439419591,0.0004314574576143206,0.05498367846215153,Generally Decreases Score,5
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),1,0.0,1.0,0.0,0.0,0.0,5040,73.24516785350966,-0.00013221449303834335,-5.2075380906500135e-06,0.0001505892443947814,0.05504239219469633,Generally Decreases Score,6
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),2,1.0,25.0,1.0,24.0,6.220956719817767,439,6.379886644383085,-0.0008199202857382821,-0.00038733152921541025,0.0015581447529074638,0.05406858663512943,Generally Decreases Score,5
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),3,25.0,50.0,25.0,49.0,31.57281553398058,309,4.490626362447319,-0.000999864953059522,-0.000857789030288902,0.002033786434259708,0.05259651543755237,Generally Decreases Score,4
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),4,50.0,100.0,50.0,98.0,61.19141914191419,303,4.403429734050284,-0.0009037916395065468,-0.0007990027457615315,0.002647709038912124,0.05052483410678118,Generally Decreases Score,2
